,tmpc,mean_load,min_load,max_load
2017-03-02,5.45,13190.564166666665,10746.02,16227.84
2017-03-03,-2.0974999999999997,14142.136250000001,11996.18,16369.06
2017-03-04,-7.757083333333334,14640.0525,12586.4,17275.91
2017-03-05,-6.55375,14517.67125,13352.23,17028.1
2017-03-06,-1.6808333333333332,14674.367916666668,12595.11,16875.12
2017-03-07,5.2612499999999995,14334.14125,11718.11,16395.76
2017-03-08,10.2225,13384.234166666667,11272.17,15497.69
2017-03-09,8.449166666666667,13370.3825,11578.92,15769.56
2017-03-10,-1.0925,14380.14125,10718.5,16603.99
2017-03-11,-8.634166666666667,15079.855416666667,13085.6,17285.42
2017-03-12,-8.01695652173913,14812.186956521738,13260.03,17133.62
2017-03-13,-4.5325,15333.005833333335,13640.65,17296.09
2017-03-14,-2.9304166666666664,14882.657916666665,12790.03,16659.32
2017-03-15,-6.0325,15144.490833333335,12597.29,17466.13
2017-03-16,-2.8375,14924.32125,12830.02,16815.55
2017-03-17,-0.29416666666666663,14273.517916666666,12662.21,16185.46
2017-03-18,-1.2775,13321.85875,11957.96,14966.02
2017-03-19,1.3941666666666668,13259.50875,11882.45,15162.82
2017-03-20,4.257083333333333,13634.940416666666,12156.06,15442.81
2017-03-21,6.59875,13323.0,11498.37,15095.8
2017-03-22,-1.4275,14124.15125,11576.43,17026.27
2017-03-23,-2.89125,14621.63875,12608.17,16831.01
2017-03-24,2.407083333333333,14492.991666666667,12188.23,15879.79
2017-03-25,3.484166666666667,13104.128750000002,11147.94,14504.57
2017-03-26,1.7483333333333333,13108.670833333332,11595.43,15249.26
2017-03-27,2.932916666666667,14236.739166666666,11606.37,15860.7
2017-03-28,4.974583333333333,14031.298333333332,11700.62,15901.77
2017-03-29,6.641249999999999,13729.484583333333,11633.05,15342.85
2017-03-30,5.761666666666667,13180.637083333333,11380.03,15034.51
2017-03-31,2.3666666666666667,13930.302916666667,10794.66,15725.9
2017-04-01,1.9166666666666667,13315.399583333332,10895.11,14903.71
2017-04-02,8.295833333333333,12058.73375,11120.21,13924.26
2017-04-03,9.19875,12881.585833333333,10980.76,14648.36
2017-04-04,6.214166666666666,13890.444166666668,11243.13,15622.41
2017-04-05,7.648333333333333,13484.414166666667,11415.97,15113.0
2017-04-06,4.7387500000000005,14089.617083333333,11488.99,15661.28
2017-04-07,7.185833333333334,13156.215416666666,11397.87,14412.96
2017-04-08,5.764166666666667,12159.187916666668,10999.03,13468.3
2017-04-09,10.773333333333333,11279.549583333333,10329.52,13330.69
2017-04-10,15.647916666666667,12204.621666666666,9868.02,14141.24
2017-04-11,19.034583333333334,12385.726666666667,9755.65,14545.06
2017-04-12,14.8175,12444.049166666666,10057.06,14029.39
2017-04-13,10.03,12023.114583333334,9786.98,13845.18
2017-04-14,10.993333333333334,11620.952083333332,10054.19,13109.56
2017-04-15,11.300416666666669,10985.43,9586.48,12779.05
2017-04-16,20.45375,10902.885416666666,9367.86,13101.89
2017-04-17,17.40458333333333,12038.71375,9736.46,13775.44
2017-04-18,10.419166666666667,11903.907083333334,10079.64,13836.99
2017-04-19,7.445833333333333,12201.595,9642.33,14404.62
2017-04-20,12.750416666666666,12227.967916666666,9833.37,13782.4
2017-04-21,9.405833333333334,12675.698750000001,9868.9,14278.46
2017-04-22,9.251666666666667,11959.175833333333,10221.9,13124.69
2017-04-23,12.335833333333333,11003.654166666667,10352.82,12969.87
2017-04-24,13.222083333333332,12007.900833333333,9510.23,13882.71
2017-04-25,10.673333333333334,12520.082083333333,9379.24,14571.15
2017-04-26,12.264166666666668,12607.893750000001,9485.79,14217.5
2017-04-27,16.118750000000002,12397.055833333334,9809.33,14071.34
2017-04-28,20.057916666666667,12539.978333333333,10010.28,14264.21
2017-04-29,21.432916666666667,11836.922083333333,9752.71,13551.37
2017-04-30,11.907083333333333,10877.285416666668,9183.77,12996.02
2017-05-01,13.185416666666667,12382.334583333335,9454.49,14214.85
2017-05-02,16.254166666666666,12665.35375,10151.99,14158.14
2017-05-03,12.867916666666666,12119.74,9994.76,13928.01
2017-05-04,11.39125,11975.46875,10126.45,13835.85
2017-05-05,9.731666666666667,12605.022916666667,9793.85,14123.24
2017-05-06,15.518333333333333,11393.711666666668,9655.15,12871.02
2017-05-07,11.691666666666668,10903.96875,9549.45,12957.34
2017-05-08,8.24,12106.3925,9264.26,14079.86
2017-05-09,8.275416666666667,12434.8825,10071.65,14182.58
2017-05-10,10.143333333333333,12286.63375,10173.67,13960.05
2017-05-11,11.677916666666667,12128.567916666667,9921.25,13831.06
2017-05-12,12.842500000000001,12057.355416666665,10023.41,13245.72
2017-05-13,10.145416666666668,11400.459166666667,9852.83,12816.05
2017-05-14,9.9425,11362.776666666667,9875.67,13077.92
2017-05-15,14.212916666666667,12537.507916666667,9721.65,14073.87
2017-05-16,19.576666666666664,12372.973333333333,9479.41,14523.19
2017-05-17,24.111666666666668,13858.429583333333,9909.58,17229.61
2017-05-18,28.4075,16311.397083333331,11678.0,20010.59
2017-05-19,23.991249999999997,15959.490833333335,12460.13,19083.87
2017-05-20,16.26875,11485.83625,10201.44,12877.98
2017-05-21,14.259166666666667,10952.300416666667,9396.43,13152.29
